Record,Age,Gender,Aerobic,Weights,Smoke,Caffeine,Sports,Pulse,Reaction,,,Bin,Bin,,,,,,,,,,  
1,20,male,yes,yes,no,yes,yes,72,125,,,50,50,,,,,,,,,,
2,18,male,no,no,no,no,no,80,150,,,55,60,,,,,,,,,,
3,21,male,yes,yes,no,no,yes,60,100,,,60,70,,,50,Frequency,,,,,,
4,18,male,no,no,no,no,no,60,160,,,65,80,,,55,1,,,,,,
5,18,male,yes,yes,no,no,yes,53,150,,,70,90,,,60,1,,,,,,
6,18,male,yes,no,no,no,yes,81,140,,,75,100,,,65,8,,,,,,
7,18,male,no,no,no,no,no,67,170,,,80,110,,,70,5,,,,,,
8,20,male,no,no,yes,no,no,63,150,,,85,,,,75,8,,,,,,
9,18,male,no,no,no,no,no,72,210,,,90,,,,80,23,,,,,,
10,19,male,no,no,no,no,no,72,250,,,95,,,,85,12,,,,,,
11,18,male,no,no,yes,no,yes,76,275,,,100,,,,90,12,,,,,,
12,21,male,no,no,no,no,no,76,150,,,105,,,,95,7,,,,,,
13,21,male,yes,no,no,no,no,80,100,,,110,,,,100,0,,,,,,
14,19,male,yes,yes,no,no,no,60,190,,,115,,,,105,3,,,,,,
15,19,male,no,yes,no,yes,yes,72,160,,,120,,,,110,3,,,,,,
16,20,male,no,yes,no,no,no,80,210,,,125,,,,115,0,,,,,,
17,18,male,no,yes,no,no,yes,80,200,,,130,,,,120,2,,,,,,
18,20,male,no,no,no,no,no,80,175,,,135,,,,125,0,,,,,,
19,18,male,no,yes,no,no,no,104,180,,,140,,,,130,1,,,,,,
20,18,male,yes,yes,no,no,yes,80,175,,,,,,,135,0,,,,,,
21,19,male,yes,yes,yes,no,yes,56,160,,,,,,,140,1,,,,,,
22,18,male,no,no,no,yes,no,68,159,,,,,,,145,0,,,,,,
23,20,male,yes,no,no,no,no,70,180,,,,,,,,,,,,,,
24,18,male,no,no,no,no,yes,72,190,,,,,,,,,,,,,,
25,19,male,no,no,yes,no,yes,68,180,,,,,,,50,Frequency,,,,,,
26,20,male,yes,no,no,no,no,80,175,,,,,,,55,1,,,,,,
27,19,male,no,yes,no,no,yes,78,150,,,,,,,60,8,,,,,,
28,18,male,no,yes,no,no,yes,62,200,,,,,,,65,4,,,,,,
29,18,male,no,no,no,no,yes,64,200,,,,,,,70,14,,,,,,
30,18,male,no,yes,no,no,yes,88,197,,,,,,,75,11,,,,,,
31,20,male,no,no,no,no,no,75,200,,,,,,,80,22,,,,,,
32,18,male,no,yes,no,yes,no,68,175,,,,,,,85,7,,,,,,
33,23,male,no,yes,no,no,no,73,140,,,,,,,90,5,,,,,,
34,18,male,no,yes,yes,no,yes,60,155,,,,,,,95,1,,,,,,
35,18,male,no,no,no,no,no,96,180,,,,,,,100,2,,,,,,
36,18,male,no,yes,no,no,yes,78,210,,,,,,,105,1,,,,,,
37,18,male,no,no,yes,yes,no,92,170,,,,,,,110,0,,,,,,
38,18,male,no,no,no,no,no,100,105,,,,,,,115,0,,,,,,
39,21,male,yes,yes,no,no,no,80,175,,,,,,,120,0,,,,,,
40,17,male,yes,no,no,no,yes,76,180,,,,,,,125,0,,,,,,
41,20,male,no,no,no,no,no,71,203,,,,,,,130,0,,,,,,
42,18,male,no,no,yes,yes,yes,77,193,,,,,,,135,0,,,,,,
43,19,male,no,yes,no,no,no,70,133,,,,,,,140,0,,,,,,
44,18,male,no,no,yes,yes,yes,85,190,,,,,,,More,0,,,,,,
45,18,male,no,no,no,yes,yes,80,153,,,,,,,,,,,,,,
46,21,male,no,no,no,no,no,68,150,,,,,,,,,,,,,,
47,19,male,yes,no,no,no,yes,76,168,,,,,,,,,,,,,,
48,18,male,no,yes,no,no,yes,84,183,,,,,,,,,,,,,,
49,23,male,no,yes,yes,no,yes,84,183,,,,,,,,,,,,,,
50,22,male,no,no,no,no,no,72,150,,,,,,,,,,,,,,
51,19,male,yes,yes,no,yes,yes,60,190,,,,,,,,,,,,,,
52,19,male,no,yes,no,yes,yes,68,150,,,,,,,,,,,,,,
53,19,male,yes,yes,no,no,yes,68,183,,,,,,,,,,,,,,
54,18,male,yes,yes,no,no,yes,66,137,,,,,,,,,,,,,,
55,18,male,no,yes,no,yes,no,63,145,,,,,,,,,,,,,,
56,19,male,yes,no,no,no,yes,78,180,,,,,,,,,,,,,,
57,18,male,no,no,no,no,yes,74,110,,,,,,,,,,,,,,
58,18,male,yes,yes,no,yes,yes,68,187,,,,,,,,,,,,,,
59,19,male,yes,yes,yes,no,yes,72,186,,,,,,,,,,,,,,
60,18,male,yes,no,no,yes,yes,75,223,,,,,,,,,,,,,,
61,18,male,no,no,no,yes,no,80,176,,,,,,,,,,,,,,
62,18,male,no,no,yes,no,yes,84,180,,,,,,,,,,,,,,
63,19,male,yes,yes,no,no,yes,56,100,,,,,,,,,,,,,,
64,19,male,yes,yes,no,no,yes,56,100,,,,,,,,,,,,,,
65,19,male,yes,yes,no,no,yes,80,146,,,,,,,,,,,,,,
66,18,male,no,no,no,no,no,76,190,,,,,,,,,,,,,,
67,18,male,no,yes,no,yes,no,80,175,,,,,,,,,,,,,,
68,18,male,no,no,yes,yes,no,90,170,,,,,,,,,,,,,,
69,18,male,no,no,no,yes,yes,88,130,,,,,,,,,,,,,,
70,18,male,no,yes,no,yes,no,86,186,,,,,,,,,,,,,,
71,19,male,no,yes,yes,yes,no,76,243,,,,,,,,,,,,,,
72,23,male,no,yes,no,no,yes,84,190,,,,,,,,,,,,,,
73,20,male,no,yes,no,yes,no,82,180,,,,,,,,,,,,,,
74,21,male,no,no,yes,yes,no,90,166,,,,,,,,,,,,,,
75,19,male,no,no,no,no,yes,68,210,,,,,,,,,,,,,,
76,19,male,yes,no,no,yes,yes,69,170,,,,,,,,,,,,,,
77,18,male,yes,yes,no,no,yes,68,156,,,,,,,,,,,,,,
78,18,female,yes,yes,no,no,yes,80,110,,,,,,,,,,,,,,
79,18,female,yes,yes,no,yes,yes,92,170,,,,,,,,,,,,,,
80,18,female,no,no,no,no,no,82,205,,,,,,,,,,,,,,
